user_id," ""artistname"""," ""trackname"""," ""playlistname"";;;;",,,,,,,,,,
9cc0cfd4d7d7885102480dd99e7a90d6,Elvis Costello,(The Angels Wanna Wear My) Red Shoes,HARD ROCK 2010;;;;,,,,,,,,,,
9cc0cfd4d7d7885102480dd99e7a90d6,Elvis Costello & The Attractions,"(What's So Funny 'Bout) Peace, Love And Understanding",HARD ROCK 2010;;;;,,,,,,,,,,
9cc0cfd4d7d7885102480dd99e7a90d6,Tiffany Page,7 Years Too Late,HARD ROCK 2010;;;;,,,,,,,,,,
9cc0cfd4d7d7885102480dd99e7a90d6,Elvis Costello & The Attractions,Accidents Will Happen,HARD ROCK 2010;;;;,,,,,,,,,,
9cc0cfd4d7d7885102480dd99e7a90d6,Elvis Costello,Alison,HARD ROCK 2010;;;;,,,,,,,,,,
9cc0cfd4d7d7885102480dd99e7a90d6,Lissie,All Be Okay,HARD ROCK 2010;;;;,,,,,,,,,,
9cc0cfd4d7d7885102480dd99e7a90d6,Paul McCartney,Band On The Run,HARD ROCK 2010;;;;,,,,,,,,,,
9cc0cfd4d7d7885102480dd99e7a90d6,Joe Echo,Beautiful,HARD ROCK 2010;;;;,,,,,,,,,,
9cc0cfd4d7d7885102480dd99e7a90d6,Paul McCartney,"Blackbird - Live at CitiField, NYC - Digital Audio",HARD ROCK 2010;;;;,,,,,,,,,,
9cc0cfd4d7d7885102480dd99e7a90d6,Lissie,Bright Side,HARD ROCK 2010;;;;,,,,,,,,,,
9cc0cfd4d7d7885102480dd99e7a90d6,The Breakers,Dance The Go-Go,HARD ROCK 2010;;;;,,,,,,,,,,
9cc0cfd4d7d7885102480dd99e7a90d6,Paul McCartney,Dance Tonight,HARD ROCK 2010;;;;,,,,,,,,,,
9cc0cfd4d7d7885102480dd99e7a90d6,The Coronas,Decision Time,HARD ROCK 2010;;;;,,,,,,,,,,
9cc0cfd4d7d7885102480dd99e7a90d6,Crowded House,Don't Dream It's Over,HARD ROCK 2010;;;;,,,,,,,,,,
9cc0cfd4d7d7885102480dd99e7a90d6,Lissie,Everywhere I Go,HARD ROCK 2010;;;;,,,,,,,,,,
9cc0cfd4d7d7885102480dd99e7a90d6,Crowded House,Fall At Your Feet,HARD ROCK 2010;;;;,,,,,,,,,,
9cc0cfd4d7d7885102480dd99e7a90d6,Crowded House,Four Seasons In One Day,HARD ROCK 2010;;;;,,,,,,,,,,
